# c9-league: 九校联盟
清华大学 tsinghua.edu.cn
北京大学 pku.edu.cn
复旦大学 fudan.edu.cn
上海交通大学 sjtu.edu.cn
浙江大学 zju.edu.cn
中国科学技术大学 ustc.edu.cn
南京大学 nju.edu.cn
哈尔滨工业大学 hit.edu.cn
西安交通大学 xjtu.edu.cn
# first-class: 世界一流大学
中国人民大学 ruc.edu.cn
北京航空航天大学 buaa.edu.cn
北京理工大学 bit.edu.cn
中国农业大学 cau.edu.cn
北京师范大学 bnu.edu.cn
中央民族大学 muc.edu.cn
南开大学 nankai.edu.cn
天津大学 tju.edu.cn
大连理工大学 dlut.edu.cn
吉林大学 jlu.edu.cn
同济大学 tongji.edu.cn
华东师范大学 ecnu.edu.cn
东南大学 seu.edu.cn
厦门大学 xmu.edu.cn
山东大学 sdu.edu.cn
中国海洋大学 ouc.edu.cn
武汉大学 whu.edu.cn
华中科技大学 hust.edu.cn
中南大学 csu.edu.cn
中山大学 sysu.edu.cn
华南理工大学 scut.edu.cn
四川大学 scu.edu.cn
重庆大学 cqu.edu.cn
电子科技大学 uestc.edu.cn
西北工业大学 nwpu.edu.cn
兰州大学 lzu.edu.cn
国防科学技术大学 nudt.edu.cn
